Rank,Country,2023 Population,Yearly Change,Net Change,Density per sqkm,Land Area sqkm,Medium Age,Percent Urban Population,World Share
1,India,1428627663,0.81,11454490,481,2973190,28,36,17.76
2,China,1425671352,-0.02,-215985,152,9388211,39,65,17.72
3,United States,339996563,0.50,1706706,37,9147420,38,83,4.23
4,Indonesia,277534122,0.74,2032783,153,1811570,30,59,3.45
5,Pakistan,240485658,1.98,4660796,312,770880,21,35,2.99
6,Nigeria,223804632,2.41,5263420,246,910770,17,54,2.78
7,Brazil,216422446,0.52,1108948,26,8358140,34,88,2.69
8,Bangladesh,172954319,1.03,1767947,1329,130170,27,41,2.15
9,Russia,144444359,-0.19,-268955,9,16376870,39,75,1.8
10,Mexico,128455567,0.75,951442,66,1943950,30,88,1.6
